playerID,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,adapt_score
antonma01,0,0,0,18,0,0,0,0,0,0.0
aokino01,0,0,0,0,0,0,203,36,377,1.0502
aparilu01,0,0,0,0,0,2582,0,0,0,0.0
apodabo01,184,0,0,0,0,0,0,0,0,0.0
apontlu01,110,0,0,0,0,0,0,0,0,0.0
appieke01,414,0,0,0,0,0,0,0,0,0.0
appleed01,48,0,0,0,0,0,0,0,0,0.0
applefr01,3,0,0,0,0,0,0,0,0,0.0
applepe01,341,0,0,0,0,0,0,0,1,0.00990000000000002
applilu01,0,0,13,40,88,2218,0,0,0,0.1993999999999998
aquingr01,145,0,0,0,0,0,0,0,0,0.0
aquinja01,3,0,0,0,0,0,0,0,0,0.0
aquinlu01,222,0,0,0,0,0,0,0,0,0.0
aragoan01,0,0,0,0,12,2,5,3,1,1.4581
araujel01,72,0,0,0,0,0,0,0,0,0.0
archdma01,0,0,0,0,0,0,1,96,1,0.0686
archech01,128,0,0,0,0,0,0,0,0,0.0
archefr01,7,0,0,0,0,0,0,0,0,0.0
archeji01,0,733,66,2,1,0,1,0,0,0.2833999999999999
archeji02,57,0,0,0,0,0,0,0,0,0.0
archige01,0,0,34,0,73,0,0,0,0,0.8529
arciajo01,0,0,1,98,18,111,17,13,0,1.4739
arciaor01,0,0,0,0,0,53,0,0,0,0.0
arciaos01,0,0,0,0,0,0,90,0,172,0.8944000000000001
ardelda01,0,0,1,0,0,0,0,0,0,0.0
ardizru01,1,0,0,0,0,0,0,0,0,0.0
ardnejo01,0,0,0,109,1,0,0,0,0,0.030600000000000183
ardoida01,0,165,0,0,0,0,0,0,0,0.0
arellfr01,74,0,0,0,0,0,0,0,0,0.0
arenano01,0,0,0,0,558,0,0,0,0,0.0
arencjp01,1,400,22,0,0,0,0,0,0,0.17930000000000001
arftha01,0,0,260,0,0,0,0,0,0,0.0
ariasal01,0,0,18,53,193,321,0,0,0,1.2341
ariasal02,63,0,0,0,0,0,0,0,0,0.0
ariasge01,0,0,1,0,156,0,0,0,0,0.021399999999999864
ariasjo01,0,0,29,104,183,103,1,0,0,1.5594
ariasru01,34,0,0,0,0,0,0,0,0,0.0
arletbu01,0,0,13,0,0,0,0,0,94,0.3849
arlicdo01,8,0,0,0,0,0,0,0,0,0.0
arlinst01,141,0,0,0,0,0,0,0,0,0.0
armasma01,0,0,12,0,0,0,0,0,1,0.2501000000000002
armasto01,0,0,2,0,0,0,123,618,623,1.2293
armasto02,185,0,0,0,0,0,0,0,0,0.0
armbrch01,0,123,1,0,0,0,0,0,0,0.027099999999999902
armbred01,0,0,0,0,0,0,55,9,37,1.1788
armbrha01,0,0,0,0,0,0,0,40,34,1.0073
armbror01,3,0,0,0,0,0,0,0,0,0.0
armstbo01,0,0,0,0,0,0,0,11,1,0.27
armstge01,0,4,0,0,0,0,0,0,0,0.0
armstho01,1,0,0,0,0,0,0,0,0,0.0
armstja01,152,0,0,0,0,0,0,0,0,0.0
armstmi01,197,0,0,0,0,0,0,0,0,0.0
armstsh01,18,0,0,0,0,0,0,0,0,0.0
arndtha01,0,0,6,94,77,6,8,0,74,1.6535
arndtla01,0,0,1,0,1,0,0,0,0,1.0157
arnolbi01,0,0,0,0,0,0,0,0,2,0.0
arnolch01,0,9,1,56,29,6,3,0,1,1.3737
arnolja01,50,0,0,0,0,0,0,0,0,0.0
arnolsc01,6,0,0,0,0,0,0,0,0,0.0
arnolto01,38,0,0,0,0,0,0,0,0,0.0
arnovmo01,0,0,0,0,0,0,524,13,8,0.129
arnsbbr01,94,0,0,0,0,0,0,0,0,0.0
arntzor01,32,0,0,0,0,0,0,0,0,0.0
arochre01,124,0,0,0,0,0,0,0,0,0.0
arojo01,7,0,0,0,0,0,0,0,0,0.0
arredjo01,214,0,0,0,0,0,0,0,0,0.0
arrieja01,167,0,0,0,0,0,0,0,0,0.0
arrigge01,194,0,0,0,0,0,0,0,0,0.0
arrojro01,158,0,0,0,0,0,0,0,0,0.0
arroybr01,405,0,0,0,0,0,0,0,0,0.0
arroyfe01,121,0,0,0,0,0,0,0,0,0.0
arroylu01,244,0,0,0,0,0,0,0,0,0.0
arroyru01,9,0,0,0,0,0,0,0,0,0.0
arrueer01,0,0,0,0,0,21,0,0,0,0.0
arundha01,16,0,0,0,0,1,0,0,1,0.36609999999999987
arundtu01,0,75,1,0,0,0,0,0,2,0.12869999999999981
asadora01,0,0,0,2,15,0,0,0,0,0.37360000000000015
asbelji01,0,0,0,0,0,0,8,0,3,0.7675999999999998
asbjoca01,0,68,0,0,0,0,0,0,0,0.0
ascanjo01,43,0,0,0,0,0,0,0,0,0.0
