playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
slocubr01,10,2.0,0,10,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
slocuhe01,549,0.0,316,548,548,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
slocuro01,80,25.0,80,68,0,20,0,12,21,18,0,0,0,0,0.0,5.0,29.0,1.7736
sloweke01,139,106.0,45,137,137,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0
slusajo01,118,33.0,67,118,118,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smajscr01,8,0.0,8,2,0,0,0,2,0,0,0,0,0,0,0.0,2.0,5.0,0.0
smallaa01,172,15.0,43,172,172,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smallch01,25,0.0,25,1,0,0,0,0,0,0,0,1,0,1,0.0,19.0,1.0,0.0
smallha01,1,1.0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smallji01,108,27.0,108,45,0,0,0,0,0,0,14,13,18,45,0.0,34.0,38.0,1.4768
smallma01,16,0.0,16,16,16,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smallro01,872,759.0,872,831,0,0,2,8,1,820,0,0,0,0,0.0,41.0,5.0,0.044500000000000206
smallro02,1653,1491.0,1653,1320,0,0,34,58,189,1069,0,0,0,0,272.0,137.0,3.0,0.6661000000000001
smallwa01,8,0.0,8,8,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smallwi01,147,,147,147,0,0,0,2,145,0,0,0,0,0,,,,0.04559999999999986
smartjd01,44,0.0,31,44,44,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smazajo01,2,1.0,2,1,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
smilebi01,77,,77,77,0,0,0,73,2,2,1,0,1,2,,,,0.25470000000000015
smilejo01,361,280.0,320,361,361,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smith01,1,,1,1,1,0,0,0,0,0,0,0,1,1,,,,1.0157
smithal01,287,,287,287,0,187,18,5,10,0,35,13,10,57,,,,1.0736
smithal02,1,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithal03,359,201.0,359,356,356,0,0,0,0,0,0,0,0,0,0.0,2.0,0.0,0.0
smithal04,1518,1384.0,1518,1446,0,0,0,2,379,9,402,86,673,1115,0.0,82.0,19.0,1.5517
smithar01,3,2.0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
smithbe01,59,22.0,59,51,0,0,0,0,0,0,5,12,37,51,0.0,25.0,1.0,0.9468999999999999
smithbi01,6,,6,6,0,2,0,1,0,0,0,3,0,3,,,,1.3229
