id,key,value,type
305003,FCode,39004,NHD
305003,FDate,2005/08/26,NHD
305003,FTYPE,LakePond,NHD
305003,ReachCode,08090203031146,NHD
305003,RESOLUTION,High,NHD
305003,source,NHD,regular
305003,type,multipolygon,regular
305004,type,multipolygon,regular
305004,natural,wetland,regular
305005,type,multipolygon,regular
305005,natural,water,regular
305007,type,multipolygon,regular
305007,natural,wetland,regular
305008,type,multipolygon,regular
305008,natural,wetland,regular
305009,type,multipolygon,regular
305009,natural,wetland,regular
305011,type,multipolygon,regular
305011,natural,wetland,regular
305013,natural,wetland,regular
305013,type,multipolygon,regular
305014,type,multipolygon,regular
305014,natural,wetland,regular
305015,type,multipolygon,regular
305015,natural,water,regular
305016,type,multipolygon,regular
305016,natural,wetland,regular
305017,type,multipolygon,regular
305017,natural,wetland,regular
305019,type,multipolygon,regular
305019,natural,wetland,regular
305026,type,multipolygon,regular
305026,natural,wetland,regular
305027,type,multipolygon,regular
305027,natural,wetland,regular
305028,type,multipolygon,regular
305028,natural,wetland,regular
305029,type,multipolygon,regular
305029,natural,wetland,regular
305030,type,multipolygon,regular
305030,natural,water,regular
305031,type,multipolygon,regular
305031,natural,water,regular
305034,type,multipolygon,regular
305034,natural,wetland,regular
305036,type,multipolygon,regular
305036,natural,wetland,regular
305038,type,multipolygon,regular
305038,natural,wetland,regular
305039,type,multipolygon,regular
305039,natural,water,regular
305041,type,multipolygon,regular
305041,natural,wetland,regular
305042,type,multipolygon,regular
305042,natural,wetland,regular
305043,type,multipolygon,regular
305043,natural,wetland,regular
305044,type,multipolygon,regular
305044,natural,wetland,regular
305045,type,multipolygon,regular
305045,natural,water,regular
305046,type,multipolygon,regular
305046,natural,water,regular
305047,type,multipolygon,regular
305047,natural,water,regular
305048,type,multipolygon,regular
305048,natural,water,regular
305049,type,multipolygon,regular
305049,natural,wetland,regular
305052,type,multipolygon,regular
305052,natural,wetland,regular
305053,type,multipolygon,regular
305053,natural,wetland,regular
305054,type,multipolygon,regular
305054,natural,water,regular
305055,natural,wetland,regular
305055,type,multipolygon,regular
305056,type,multipolygon,regular
305056,natural,wetland,regular
305057,type,multipolygon,regular
305057,natural,wetland,regular
305060,type,multipolygon,regular
305060,natural,wetland,regular
305063,type,multipolygon,regular
305063,natural,wetland,regular
305064,type,multipolygon,regular
305064,natural,wetland,regular
305065,type,multipolygon,regular
305065,natural,water,regular
305066,type,multipolygon,regular
305066,natural,water,regular
305076,type,multipolygon,regular
305076,natural,water,regular
305077,type,multipolygon,regular
305077,natural,wetland,regular
305079,type,multipolygon,regular
305079,natural,wetland,regular
305080,type,multipolygon,regular
305080,natural,wetland,regular
305082,type,multipolygon,regular
305082,natural,wetland,regular
305110,type,multipolygon,regular
305110,natural,wetland,regular
305147,type,multipolygon,regular
305147,natural,wetland,regular
305148,type,multipolygon,regular
305148,natural,wetland,regular
305151,type,multipolygon,regular
305151,natural,water,regular
305152,type,multipolygon,regular
305152,natural,wetland,regular
305154,type,multipolygon,regular
305154,natural,wetland,regular
305156,type,multipolygon,regular
305156,natural,water,regular
305157,type,multipolygon,regular
305157,natural,water,regular
305158,type,multipolygon,regular
305158,natural,water,regular
305159,type,multipolygon,regular
305159,natural,wetland,regular
305162,type,multipolygon,regular
305162,natural,wetland,regular
305163,type,multipolygon,regular
305163,natural,wetland,regular
305165,type,multipolygon,regular
305165,natural,water,regular
305166,type,multipolygon,regular
305166,natural,water,regular
305167,type,multipolygon,regular
305167,natural,wetland,regular
305169,type,multipolygon,regular
305169,natural,wetland,regular
305171,type,multipolygon,regular
305171,natural,water,regular
305172,type,multipolygon,regular
305172,natural,wetland,regular
305197,type,multipolygon,regular
305197,natural,wetland,regular
305198,type,multipolygon,regular
305198,natural,water,regular
305199,type,multipolygon,regular
305199,natural,water,regular
305201,type,multipolygon,regular
305201,natural,wetland,regular
305202,type,multipolygon,regular
305202,natural,wetland,regular
305203,type,multipolygon,regular
305203,natural,wetland,regular
305204,type,multipolygon,regular
305204,source,NHD,regular
305204,natural,wetland,regular
305204,ComID,139206884,NHD
305204,FCode,46600,NHD
305204,FDate,2005/08/24,NHD
305204,FTYPE,SwampMarsh,NHD
305204,RESOLUTION,High,NHD
305205,name,Bayou St. John,regular
305205,fr,Bayou Saint-Jean,name
305205,natural,water,regular
305205,type,multipolygon,regular
305205,wikidata,Q2892305,regular
305205,wikipedia,en:Bayou St. John,regular
305206,type,multipolygon,regular
305206,natural,wetland,regular
305206,ComID,139202049,NHD
305206,FCode,46600,NHD
305206,FDate,2005/08/24,NHD
305206,FTYPE,SwampMarsh,NHD
305206,RESOLUTION,High,NHD
305207,type,multipolygon,regular
305207,natural,wetland,regular
305211,type,multipolygon,regular
305211,natural,wetland,regular
305213,type,multipolygon,regular
305213,natural,wetland,regular
305215,type,multipolygon,regular
305215,natural,water,regular
305217,type,multipolygon,regular
305217,natural,wetland,regular
305219,type,multipolygon,regular
305219,natural,water,regular
305220,type,multipolygon,regular
305220,natural,wetland,regular
305221,type,multipolygon,regular
305221,natural,wetland,regular
305252,type,multipolygon,regular
305252,natural,wetland,regular
305253,type,multipolygon,regular
305253,natural,wetland,regular
305254,type,multipolygon,regular
305254,natural,wetland,regular
305255,type,multipolygon,regular
305255,natural,wetland,regular
305256,type,multipolygon,regular
305256,natural,water,regular
305257,type,multipolygon,regular
305257,natural,wetland,regular
305258,type,multipolygon,regular
305258,natural,water,regular
305259,type,multipolygon,regular
305259,natural,wetland,regular
305260,type,multipolygon,regular
305260,natural,wetland,regular
305261,type,multipolygon,regular
305261,natural,wetland,regular
305262,type,multipolygon,regular
305262,source,NHD,regular
305262,natural,wetland,regular
305262,ComID,139207317,NHD
305262,FCode,46600,NHD
305262,FDate,2005/08/24,NHD
305262,FTYPE,SwampMarsh,NHD
305262,RESOLUTION,High,NHD
305263,type,multipolygon,regular
305263,natural,wetland,regular
305266,type,multipolygon,regular
305266,natural,wetland,regular
305267,type,multipolygon,regular
305267,natural,water,regular
305268,type,multipolygon,regular
305268,natural,wetland,regular
305271,type,multipolygon,regular
305271,natural,wetland,regular
305273,type,multipolygon,regular
305273,natural,wetland,regular
305274,natural,water,regular
305274,ComID,139182880,NHD
305274,FCode,39004,NHD
305274,FDate,2005/08/26,NHD
305274,FTYPE,LakePond,NHD
305274,ReachCode,08090203031753,NHD
305274,RESOLUTION,High,NHD
305274,source,NHD,regular
305274,type,multipolygon,regular
305284,type,multipolygon,regular
305284,natural,wetland,regular
305285,type,multipolygon,regular
305285,natural,wetland,regular
305286,natural,wetland,regular
305286,ComID,139203549,NHD
305286,FCode,46600,NHD
305286,FDate,2005/08/24,NHD
305286,FTYPE,SwampMarsh,NHD
305286,RESOLUTION,High,NHD
305286,source,NHD,regular
305286,type,multipolygon,regular
305287,type,multipolygon,regular
305287,natural,water,regular
305288,type,multipolygon,regular
305288,natural,water,regular
305289,type,multipolygon,regular
305289,natural,wetland,regular
305290,type,multipolygon,regular
305290,natural,wetland,regular
305291,type,multipolygon,regular
305291,natural,water,regular
305293,type,multipolygon,regular
305293,natural,water,regular
305295,type,multipolygon,regular
305295,natural,wetland,regular
305297,type,multipolygon,regular
305297,natural,wetland,regular
305299,type,multipolygon,regular
305299,natural,water,regular
305300,type,multipolygon,regular
305300,natural,water,regular
305303,type,multipolygon,regular
305303,natural,wetland,regular
305587,type,multipolygon,regular
305587,natural,wetland,regular
305588,type,multipolygon,regular
305588,natural,water,regular
305590,type,multipolygon,regular
305590,natural,wetland,regular
305591,type,multipolygon,regular
305591,natural,wetland,regular
305592,type,multipolygon,regular
305592,natural,wetland,regular
305596,type,multipolygon,regular
305596,natural,wetland,regular
305598,type,multipolygon,regular
305598,natural,wetland,regular
305599,type,multipolygon,regular
305599,natural,water,regular
305601,type,multipolygon,regular
305601,natural,water,regular
305602,type,multipolygon,regular
305602,natural,wetland,regular
305603,type,multipolygon,regular
305603,natural,wetland,regular
305604,type,multipolygon,regular
305604,natural,wetland,regular
305629,type,multipolygon,regular
305629,natural,wetland,regular
305630,type,multipolygon,regular
305630,natural,wetland,regular
305632,type,multipolygon,regular
305632,natural,wetland,regular
305634,type,multipolygon,regular
305634,natural,wetland,regular
305635,type,multipolygon,regular
305635,natural,wetland,regular
305636,type,multipolygon,regular
305636,natural,water,regular
305637,type,multipolygon,regular
305637,natural,water,regular
305638,type,multipolygon,regular
305638,source,NHD,regular
305638,natural,wetland,regular
305638,ComID,139209097,NHD
305638,FCode,46600,NHD
305638,FDate,2005/08/24,NHD
305638,FTYPE,SwampMarsh,NHD
305638,RESOLUTION,High,NHD
305639,type,multipolygon,regular
305639,natural,wetland,regular
305642,natural,wetland,regular
305642,type,multipolygon,regular
305643,type,multipolygon,regular
305643,natural,water,regular
305662,type,multipolygon,regular
305662,natural,wetland,regular
305663,type,multipolygon,regular
305663,natural,wetland,regular
305664,type,multipolygon,regular
305664,natural,wetland,regular
305665,type,multipolygon,regular
305665,natural,wetland,regular
305666,type,multipolygon,regular
305666,natural,water,regular
305667,type,multipolygon,regular
305667,natural,water,regular
305671,type,multipolygon,regular
305671,natural,water,regular
305672,type,multipolygon,regular
305672,natural,wetland,regular
305674,type,multipolygon,regular
305674,source,NHD,regular
305674,natural,wetland,regular
305674,ComID,139206997,NHD
305674,FCode,46600,NHD
305674,FDate,2005/08/24,NHD
305674,FTYPE,SwampMarsh,NHD
305674,RESOLUTION,High,NHD
305675,type,multipolygon,regular
305675,natural,wetland,regular
305676,type,multipolygon,regular
305676,natural,wetland,regular
305677,type,multipolygon,regular
305677,natural,wetland,regular
305679,type,multipolygon,regular
305679,natural,wetland,regular
305682,type,multipolygon,regular
305682,natural,wetland,regular
305720,type,multipolygon,regular
305720,natural,wetland,regular
305721,natural,wetland,regular
305721,type,multipolygon,regular
305723,type,multipolygon,regular
305723,natural,wetland,regular
305724,type,multipolygon,regular
305724,natural,water,regular
305725,type,multipolygon,regular
305725,natural,wetland,regular
305727,type,multipolygon,regular
305727,natural,water,regular
305728,type,multipolygon,regular
305728,natural,wetland,regular
305729,type,multipolygon,regular
305729,natural,wetland,regular
305731,type,multipolygon,regular
305731,natural,wetland,regular
305732,type,multipolygon,regular
305732,natural,wetland,regular
305735,type,multipolygon,regular
305735,natural,water,regular
305736,type,multipolygon,regular
305736,natural,water,regular
305737,type,multipolygon,regular
305737,natural,water,regular
305738,type,multipolygon,regular
305738,natural,wetland,regular
305756,type,multipolygon,regular
305756,natural,wetland,regular
305757,type,multipolygon,regular
305757,natural,water,regular
305758,type,multipolygon,regular
305758,natural,water,regular
305759,type,multipolygon,regular
305759,natural,wetland,regular
305763,type,multipolygon,regular
305763,natural,wetland,regular
305764,natural,wetland,regular
305764,ComID,139202018,NHD
305764,FCode,46600,NHD
305764,FDate,2005/08/24,NHD
305764,FTYPE,SwampMarsh,NHD
305764,RESOLUTION,High,NHD
305764,type,multipolygon,regular
305765,type,multipolygon,regular
305765,natural,wetland,regular
305766,type,multipolygon,regular
305766,natural,water,regular
305768,type,multipolygon,regular
305768,natural,wetland,regular
305769,type,multipolygon,regular
305769,natural,wetland,regular
305772,type,multipolygon,regular
305772,natural,water,regular
305778,type,multipolygon,regular
305778,natural,wetland,regular
305779,type,multipolygon,regular
305779,natural,wetland,regular
305780,type,multipolygon,regular
305780,natural,wetland,regular
305781,type,multipolygon,regular
305781,natural,water,regular
305783,type,multipolygon,regular
305783,natural,water,regular
305784,ele,-1.800,regular
305784,natural,water,regular
305784,ComID,139184687,NHD
305784,Elevation,-1.80000000000,NHD
305784,FCode,39009,NHD
305784,FDate,2005/08/26,NHD
305784,FTYPE,LakePond,NHD
305784,ReachCode,08090203049505,NHD
305784,RESOLUTION,High,NHD
305784,source,NHD,regular
305784,type,multipolygon,regular
305787,type,multipolygon,regular
305787,natural,wetland,regular
305788,type,multipolygon,regular
305788,natural,wetland,regular
305791,natural,wetland,regular
305791,type,multipolygon,regular
305792,type,multipolygon,regular
305792,natural,wetland,regular
305802,type,multipolygon,regular
305802,natural,water,regular
305803,type,multipolygon,regular
305803,natural,wetland,regular
305804,type,multipolygon,regular
305804,natural,wetland,regular
